Enabled,Catalog ID,Full Product Name,Label Name,Amount,Unit,Vial mL,Label Type,Label Size,Template File,Form Text,Storage Temp,Material Color,Visual Type,Base Vial Asset,Diluent,Concentration,Dose Range,Dose Units,QR URL Override,QR Value,QR Enabled,Mascot Enabled,Brand Gap Chars,Company Name,Header Company,Legal Line 1,Legal Line 2,Legal Line 3,Label Output Stem,Website Output Stem,Source,Notes
TRUE,UD-0200,NA-Semax,NA-SEMAX,5,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,1.67 mL,2.99 mg/mL,,,,UD|NA-SEMAX|5MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,NA_SEMAX_5MG_40x20_Catalog,NA_SEMAX_5MG_3mL_Website,peptide-master-list / Live shop; pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0201,NA-Semax,NA-SEMAX,10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|NA-SEMAX|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,NA_SEMAX_10MG_40x20_Catalog,NA_SEMAX_10MG_3mL_Website,peptide-master-list / Live shop; peptide-master-list / extended list,
TRUE,UD-0202,NAD+,NAD+,100,MG,10,CATALOG,50x30,UD_Catalog_50x30mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_10mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|NAD+|100MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,NAD_100MG_50x30_Catalog,NAD_100MG_10mL_Website,peptide-master-list / extended list,
TRUE,UD-0203,NAD+,NAD+,500,MG,10,CATALOG,50x30,UD_Catalog_50x30mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_10mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|NAD+|500MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,NAD_500MG_50x30_Catalog,NAD_500MG_10mL_Website,peptide-master-list / extended list,
TRUE,UD-0204,NAD+,NAD+,1000,MG,10,CATALOG,50x30,UD_Catalog_50x30mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_10mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|NAD+|1000MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,NAD_1000MG_50x30_Catalog,NAD_1000MG_10mL_Website,peptide-master-list / Live shop; peptide-master-list / extended list,
TRUE,UD-0205,Oxytocin Acetate,OXYTOCIN ACETATE,2,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,0.8 mL,2.5 mg/mL,,,,UD|OXYTOCIN ACETATE|2MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,OXYTOCIN_ACETATE_2MG_40x20_Catalog,OXYTOCIN_ACETATE_2MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0206,Oxytocin Acetate,OXYTOCIN ACETATE,5,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,2 mL,2.5 mg/mL,,,,UD|OXYTOCIN ACETATE|5MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,OXYTOCIN_ACETATE_5MG_40x20_Catalog,OXYTOCIN_ACETATE_5MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0207,Oxytocin Acetate,OXYTOCIN ACETATE,10,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,1 mL,10 mg/mL,,,,UD|OXYTOCIN ACETATE|10MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,OXYTOCIN_ACETATE_10MG_40x20_Catalog,OXYTOCIN_ACETATE_10MG_3mL_Website,pER VIAL / Per Vial; peptide-master-list / extended list,
TRUE,UD-0208,P21,P21,5,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,2 mL,2.5 mg/mL,,,,UD|P21|5MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,P21_5MG_40x20_Catalog,P21_5MG_3mL_Website,pER VIAL / Per Vial,
TRUE,UD-0209,P21 (P021),P21 (P021),5,MG,3,CATALOG,40x20,UD_Catalog_40x20mm_M2.svg,LYOPHILIZED POWDER,36–46°F,WHITE,WHITE CAKE,UD_3mL_White_Peptide_Black_Cap_Unlabeled.png,,,,,,UD|P21 (P021)|5MG|CATALOG,TRUE,TRUE,1,UNDISCLOSED,UNDISCLOSED,RESEARCH USE,NOT FOR HUMAN,CONSUMPTION,P21_P021_5MG_40x20_Catalog,P21_P021_5MG_3mL_Website,peptide-master-list / extended list,
